Order ID;Customer ID;Created Date;Trx Order Detail → Product Name;Trx Order Detail → Qty;Trx Order Detail → Price
MA-2-749454-20231116163141;2;2023-11-16T16:31:41;Bone Marrow Ramyeon;1;17273
MA-2-749454-20231116163141;2;2023-11-16T16:31:41;Packaging Noodle;1;0
MA-2-749454-20231116163141;2;2023-11-16T16:31:41;Telur Rebus;1;4545
MA-2-749454-20231116163141;2;2023-11-16T16:31:41;Chilli Ramyeon Level 2;1;0
MA-2-749454-20231116163141;2;2023-11-16T16:31:41;Dimsum Beef;1;10909
MA-2-749454-20231116170054;2;2023-11-16T17:00:54;Black Jasmine Tea Large;1;6364
MA-2-451360-20231121115847;2;2023-11-21T11:58:47;Black Jasmine Tea Large;1;6364
MA-2-451360-20231121121146;2;2023-11-21T12:11:46;Kiwi Tea Large;1;10909
MA-2-451360-20231121121146;2;2023-11-21T12:11:46;Dimsum Beef;1;10909
MA-2-451360-20231121121146;2;2023-11-21T12:11:46;Udang Goreng Rambutan;1;13636
MA-2-451360-20231121133549;2;2023-11-21T13:35:49;Choco Lava Cheese Large;1;19091
MA-2-729505-20231204122643;2;2023-12-04T12:26:43;Choco Silky Pudding;1;9091
MA-2-704674-20231205105839;2;2023-12-05T10:58:39;Cotton Candy Silky Pudding;1;9091
MA-2-775030-20231205141613;2;2023-12-05T14:16:13;Taro Silky Pudding;1;9091
MA-2-704674-20231206184710;2;2023-12-06T18:47:10;Choco Cheese Crunchy Small;1;18182
MA-2-672877-20231207141258;2;2023-12-07T14:12:58;Choco Cheese Crunchy Large;1;21818
MA-2-672877-20231210102351;2;2023-12-10T10:23:51;Black Jasmine Tea Medium;1;4545
MA-2-605052-20231213134055;2;2023-12-13T13:40:55;Cotton Candy Silky Pudding;1;9091
MA-2-605052-20231213160903;2;2023-12-13T16:09:03;Choco Cheese Crunchy Large;1;21818
MA-2-704674-20231217134759;2;2023-12-17T13:47:59;Black Jasmine Tea Large;2;6364
MA-2-775030-20231229165829;2;2023-12-29T16:58:29;Choco Cheese Crunchy Small;1;18182
MA-2-729505-20240102181045;2;2024-01-02T18:10:45;Drink Beng Beng Cream Caramel Medium;1;20000
MA-2-729505-20240102194015;2;2024-01-02T19:40:15;Bubble Gum Silky Pudding;1;9091
MA-2-613948-20240103121816;2;2024-01-03T12:18:16;Drink Beng Beng Cream Caramel Medium;1;20000
MA-2-613948-20240103131327;2;2024-01-03T13:13:27;Lychee Silky Pudding;1;9091
MA-2-729505-20240103133825;2;2024-01-03T13:38:25;Drink Beng Beng Cream Caramel Medium;1;20000
MA-2-672877-20240103145204;2;2024-01-03T14:52:04;Drink Beng Beng Cream Caramel Medium;2;20000
MA-2-775030-20240104121724;2;2024-01-04T12:17:24;Mango Silky Pudding;1;9091
MA-2-704674-20240104164723;2;2024-01-04T16:47:23;Bubble Gum Silky Pudding;1;9091
MA-2-704674-20240104164723;2;2024-01-04T16:47:23;Drink Beng Beng Cream Caramel Medium;1;20000
MA-2-704674-20240107124745;2;2024-01-07T12:47:45;Choco Lava Large;1;14545
MA-2-704672-20240110111244;2;2024-01-10T11:12:44;Drink Beng Beng Cream Caramel Medium;1;20000
MA-2-672877-20240112142213;2;2024-01-12T14:22:13;Drink Beng Beng Cream Caramel Medium;1;20000
MA-2-605052-20240115101205;2;2024-01-15T10:12:05;Drink Beng Beng Cream Caramel Medium;1;20000
MA-2-704674-20240118114153;2;2024-01-18T11:41:53;Drink Beng Beng Cream Caramel Medium;1;20000
MA-2-704674-20240118114153;2;2024-01-18T11:41:53;Mango Cheese Silky Pudding;1;13636
MA-2-672877-20240118164001;2;2024-01-18T16:40:01;Drink Beng Beng Cream Caramel Medium;1;20000
MA-2-672877-20240118164001;2;2024-01-18T16:40:01;Choco Cheese Silky Pudding;1;13636
MA-2-775030-20240119125005;2;2024-01-19T12:50:05;Drink Beng Beng Cream Caramel Medium;1;20000
MA-2-613962-20240119140016;2;2024-01-19T14:00:16;Drink Beng Beng Cream Caramel Medium;1;20000
